game_id,player_id,player_name,minute,penalty,own_goal,goal_type,goal_details
405713,17127,Warren Feeney,72,0,0,against,72
405322,27359,Eugene Dadi,4,0,0,for,4
405322,18869,Iain Hume,80,0,0,for,80
405322,5361,Micky Mellon,87,1,0,for,pen 87
405322,32203,Gareth Davies,51,0,0,against,51
405322,21108,Ian Evatt,83,0,0,against,83
407029,10491,Isaiah Rankin,23,0,0,against,23
407029,15844,Dean Gorre,64,1,0,against,pen 64
407778,18869,Iain Hume,68,0,0,for,68
408230,3982,Gary Jones,71,0,0,for,71
408720,3982,Gary Jones,26,0,0,for,26
409730,27359,Eugene Dadi,1,0,0,for,"1, 54"
409730,27359,Eugene Dadi,54,0,0,for,"1, 54"
409730,13156,Glynn Hurst,2,0,0,against,2
409730,9772,Mark Allott,45,0,0,against,45
409908,32156,Ryan Taylor,81,1,0,for,pen 81
410358,3343,Simon Haworth,82,0,0,for,82
410358,5706,John Murphy,9,0,0,against,9
410358,32708,Simon Johnson,79,0,0,against,79
410355,3982,Gary Jones,76,0,0,for,76
410355,32156,Ryan Taylor,85,1,0,for,pen 85
410355,9160,Graeme Lee,4,0,0,against,4
410355,36341,Guylain Ndumbu-Nsungu,21,0,0,against,21
410563,3343,Simon Haworth,51,0,0,for,51
410563,19389,Kevin Nolan,78,0,0,against,78
411365,27359,Eugene Dadi,9,0,0,for,"9, 60"
411365,27359,Eugene Dadi,60,0,0,for,"9, 60"
411365,17143,Stephen Hunt,18,0,0,against,18
411365,26804,Ben May,62,0,0,against,62
411545,27359,Eugene Dadi,82,0,0,for,82
411545,18869,Iain Hume,91,0,0,for,91
411545,37683,Ricky Shakes,90,0,0,against,90
412214,5361,Micky Mellon,81,0,0,for,81
412655,32156,Ryan Taylor,5,1,0,for,"pen 5, pen 87"
412655,32156,Ryan Taylor,87,1,0,for,"pen 5, pen 87"
412655,20715,Jim Goodwin,65,0,1,for,og 65
412655,11195,Danny Griffin,34,0,0,against,34
412655,26822,Fraser McLachlan,73,0,0,against,73
413031,27359,Eugene Dadi,27,0,0,for,27
413031,16867,Kem Izzet,89,0,0,against,89
413819,18869,Iain Hume,74,0,0,for,74
413819,7832,Scott Taylor,36,0,0,against,36
413845,32156,Ryan Taylor,24,1,0,for,pen 24
413845,18869,Iain Hume,59,0,0,for,59
413845,34287,Andy Robinson,16,0,0,against,16
414303,27359,Eugene Dadi,19,0,0,for,"19, 52"
414303,27359,Eugene Dadi,52,0,0,for,"19, 52"
414303,18869,Iain Hume,23,0,0,for,23
414905,27359,Eugene Dadi,87,0,0,for,87
414905,33620,Scott Vernon,60,0,0,against,60
414898,26297,Danny Harrison,55,0,0,for,55
414898,24036,Onandi Lowe,50,0,0,against,50
414898,17291,Gary Mills,71,0,0,against,71
416291,15067,Gary Hart,7,0,0,against,7
416291,9124,Trevor Benjamin,18,0,0,against,18
416291,18787,Leon Knight,31,0,0,against,31
416287,18869,Iain Hume,63,0,0,for,"63, 73"
416287,18869,Iain Hume,73,0,0,for,"63, 73"
416287,13156,Glynn Hurst,21,0,0,against,"21, 86"
416287,13156,Glynn Hurst,86,0,0,against,"21, 86"
416287,3982,Gary Jones,83,0,1,against,og 83
416379,3982,Gary Jones,41,0,0,for,41
416379,10738,Tim Cahill,11,0,0,against,11
416379,14022,Neil Harris,16,0,0,against,16
417274,27359,Eugene Dadi,82,0,0,for,82
417899,27359,Eugene Dadi,7,0,0,for,"7, pen 15"
417899,27359,Eugene Dadi,15,1,0,for,"7, pen 15"
417899,18869,Iain Hume,69,0,0,for,"69, 74"
417899,18869,Iain Hume,74,0,0,for,"69, 74"
418490,15076,Ian Sharps,78,0,0,for,78
419011,3982,Gary Jones,30,0,0,for,30
418997,27359,Eugene Dadi,11,0,0,for,"11, 45"
418997,27359,Eugene Dadi,45,0,0,for,"11, 45"
418997,21466,Roger Johnson,88,0,0,against,88
419403,3982,Gary Jones,42,0,0,for,"42, 58"
419403,3982,Gary Jones,58,0,0,for,"42, 58"
419403,26297,Danny Harrison,51,0,0,for,51
419403,3185,Paul Hall,56,0,0,for,56
419403,626,David Beresford,81,0,0,for,81
419403,107,Graham Allen,71,0,1,against,og 71
422909,18869,Iain Hume,62,0,0,for,62
422909,32156,Ryan Taylor,88,0,0,for,88
421268,3185,Paul Hall,24,0,0,for,24
421268,22114,Steve McPhee,10,0,0,against,"10, 90"
421268,22114,Steve McPhee,90,0,0,against,"10, 90"
421600,18869,Iain Hume,57,0,0,for,57
421600,27359,Eugene Dadi,61,0,0,for,61
421600,32331,Darren Mansaram,24,0,0,against,24
415530,22215,Sam Parkin,31,0,0,against,"31, 82"
415530,22215,Sam Parkin,82,0,0,against,"31, 82"
368130,10720,Clint Hill,69,0,0,against,69
368130,14650,Clyde Wijnhard,77,0,0,against,77
368190,9299,Jason Price,71,0,0,for,71
368190,3044,Kevin Gray,77,0,0,for,77
368190,27983,Scott McDonald,44,0,0,against,44
368939,7970,Brian Tinnion,70,1,0,against,pen 70
368939,5737,Scott Murray,74,0,0,against,74
369843,32562,Keith Southern,54,0,0,against,54
369843,9699,John Hills,59,1,0,against,pen 59
369843,7832,Scott Taylor,83,0,0,against,83
370342,3343,Simon Haworth,37,0,0,for,37
370342,32156,Ryan Taylor,83,0,0,for,83
370342,15667,Eifion Williams,79,0,0,against,79
370440,3343,Simon Haworth,45,0,0,for,"45, 66"
370440,3343,Simon Haworth,66,0,0,for,"45, 66"
370440,9299,Jason Price,86,0,0,for,86
370440,19213,Kevin O'Connor,90,0,0,against,90
362893,16401,Nathan Ellington,54,1,0,against,"pen 54, 67"
362893,16401,Nathan Ellington,67,0,0,against,"pen 54, 67"
373099,30153,Stuart Howson,85,0,0,against,85
373602,107,Graham Allen,3,0,0,for,3
374962,26297,Danny Harrison,32,0,0,for,32
374962,3982,Gary Jones,45,0,0,for,"45, 75"
374962,3982,Gary Jones,75,0,0,for,"45, 75"
374962,9708,Gareth Roberts,68,0,0,for,68
374962,32156,Ryan Taylor,79,0,0,for,79
374449,7942,Peter Thorne,29,0,0,against,"29, 82"
374449,7942,Peter Thorne,82,0,0,against,"29, 82"
374449,13570,Robert Earnshaw,40,1,0,against,pen 40
374449,18784,Rhys Weston,90,0,0,against,90
375266,18869,Iain Hume,53,0,0,for,53
375266,2428,David Farrell,88,0,0,against,88
375144,9708,Gareth Roberts,87,0,0,for,87
375144,8701,Paul Wotton,90,0,1,for,og 90
375144,15645,Steve Adams,6,0,0,against,6
375757,3982,Gary Jones,80,0,0,for,80
375757,22215,Sam Parkin,2,0,0,against,2
377064,409,Stuart Barlow,67,0,0,for,"67, 116"
377064,409,Stuart Barlow,116,0,0,for,"67, 116"
377064,13569,Matthew Tipton,4,0,0,against,4
376589,409,Stuart Barlow,7,0,0,for,7
376589,3343,Simon Haworth,62,0,0,for,62
376589,23583,James Collins,34,0,0,against,34
376589,4066,Graham Kavanagh,44,0,0,against,44
376938,409,Stuart Barlow,63,0,0,for,"63, 90"
376938,409,Stuart Barlow,90,0,0,for,"63, 90"
376938,3343,Simon Haworth,67,0,0,for,67
376938,7301,Michael Simpson,71,0,0,against,71
377497,5361,Micky Mellon,45,0,0,for,45
377497,9175,Andy Campbell,60,0,0,against,60
377497,23583,James Collins,68,0,0,against,68
378241,9708,Gareth Roberts,24,0,0,for,24
378241,12593,Matthew Spring,70,0,0,against,70
378241,18155,Ahmet Brkovic,79,0,0,against,79
378241,3653,Steve Howard,89,0,0,against,89
379540,17829,Jon Newby,15,0,0,against,15
379540,30552,Dave Nugent,54,0,0,against,54
379687,3343,Simon Haworth,10,0,0,for,"10, 66"
379687,3343,Simon Haworth,66,0,0,for,"10, 66"
379687,32156,Ryan Taylor,71,0,0,for,71
379687,20585,Alex Hay,76,0,0,for,76
380290,107,Graham Allen,1,0,0,for,1
380290,3343,Simon Haworth,11,0,0,for,11
380290,7545,Mark Stallard,27,1,0,against,"pen 27, 90"
380290,7545,Mark Stallard,90,0,0,against,"pen 27, 90"
380445,5857,Shane Nicholson,58,1,0,for,pen 58
380445,9708,Gareth Roberts,77,0,0,for,77
380445,7422,Martin Smith,78,0,0,against,78
380566,3343,Simon Haworth,54,0,0,for,54
380566,3982,Gary Jones,60,0,0,for,"60, 71"
380566,3982,Gary Jones,71,0,0,for,"60, 71"
363843,3343,Simon Haworth,59,0,0,for,59
363843,2396,David Eyres,37,1,0,against,pen 37
363843,28759,Julian Baudet,76,0,0,against,76
381035,3343,Simon Haworth,38,0,0,for,38
381035,5361,Micky Mellon,60,0,0,for,60
381035,5108,Scott McGleish,12,0,0,against,12
381035,14637,Joe Keith,69,1,0,against,pen 69
382155,3343,Simon Haworth,61,0,0,for,61
382155,578,Mickey Bell,10,0,0,against,10
382613,16511,Marvin Robinson,80,0,0,for,80
382613,3343,Simon Haworth,90,0,0,for,90
382613,6087,Steve Palmer,60,0,0,against,60
382990,9978,Sean McClare,31,0,1,for,og 31
381979,15076,Ian Sharps,50,0,0,for,50
381979,17651,Marvin Brown,8,0,0,against,8
381979,5783,Tony Naylor,64,0,0,against,64
381979,15091,Martin Devaney,72,0,0,against,72
383589,3147,Andy Gurney,50,0,0,against,50
384229,3343,Simon Haworth,57,0,0,for,57
384701,18869,Iain Hume,14,0,0,for,"14, 70"
384701,18869,Iain Hume,70,0,0,for,"14, 70"
384701,2374,Paul Evans,59,0,0,against,59
385147,18869,Iain Hume,20,0,0,for,20
385147,15076,Ian Sharps,48,0,0,for,48
385147,32618,Ibrahima Sonko,90,0,0,against,90
385603,9299,Jason Price,43,0,0,for,43
385603,15076,Ian Sharps,88,0,0,for,88
385603,17994,Rob Hulse,47,0,0,against,47
385413,3343,Simon Haworth,47,0,0,for,47
385413,18869,Iain Hume,78,0,0,for,78
385413,3982,Gary Jones,89,0,0,for,89
385413,13570,Robert Earnshaw,35,0,0,against,"35, 68, 90"
385413,13570,Robert Earnshaw,68,0,0,against,"35, 68, 90"
385413,13570,Robert Earnshaw,90,0,0,against,"35, 68, 90"
364466,5857,Shane Nicholson,49,1,0,for,pen 49
364466,2244,Bruce Dyer,8,0,0,against,8
387088,163,Iain Anderson,30,0,0,for,30
387088,18869,Iain Hume,51,0,0,for,51
387088,6628,David Reeves,78,0,0,against,78
388316,3343,Simon Haworth,65,0,0,for,65
364799,5857,Shane Nicholson,59,1,0,for,pen 59
364799,3343,Simon Haworth,60,0,0,for,60
364799,20585,Alex Hay,90,0,0,for,90
364799,163,Iain Anderson,90,0,0,for,90
388924,3982,Gary Jones,15,0,0,for,15
388924,3343,Simon Haworth,81,0,0,for,81
388924,9299,Jason Price,90,0,0,for,90
388924,19046,Liam Lawrence,54,1,0,against,pen 54
389219,5857,Shane Nicholson,48,1,0,for,pen 48
389219,3343,Simon Haworth,70,0,0,for,70
389219,3982,Gary Jones,81,0,0,for,81
389219,14050,Aaron Wilbraham,7,0,0,against,7
389219,26820,Andy Welsh,21,0,0,against,21
367035,13834,Jason Koumas,40,0,0,for,40
367035,3343,Simon Haworth,45,0,0,for,"45, 81"
367035,3343,Simon Haworth,81,0,0,for,"45, 81"
367035,107,Graham Allen,47,0,0,for,47
367035,17203,Steve Brooker,26,0,0,against,26
362493,13834,Jason Koumas,15,0,0,for,15
362493,14637,Joe Keith,53,0,0,against,53
367423,409,Stuart Barlow,60,0,0,for,60
371236,1860,Tom Curtis,57,0,1,against,og 57
371236,17994,Rob Hulse,73,0,0,against,73
